ID,SiO2(Wt%),TiO2(Wt%),Al2O3(Wt%),Cr2O3(Wt%),V2O3(Wt%),Fe2O3(Wt%),FeOT(Wt%),FeO(Wt%),CaO,MgO,MnO(Wt%),NiO,COO(Wt%),K2O(Wt%),Na2O(Wt%),P2O5(Wt%),MgNo,,
OL39589,41.5298,0.0055,0.0009,0,,,6.6144,,0,50.4924,0.1313,0.3749,,0.0231,0.0052,,93.15413201,,
OL39590,41.3918,0.0018,0,0.0257,,,6.8617,,0,51.0574,0.0372,0.4059,,0.0015,0,,92.98920119,,
OL39591,41.3154,0.0382,0.0009,0,,,6.9424,,0,50.886,0.0672,0.3355,,0,0,,92.8904161,,
OL39592,41.4375,0.0073,0.0018,0.0442,,,7.067,,0,51.5093,0.1051,0.3709,,0.0137,0,,92.85325125,,
OL39593,41.6323,0,0,0,,,7.167,,0.0201,51.5015,0.075,0.3755,,0,0.0108,,92.75842786,,
OL39594,41.7746,0.0015,0.0014,0.0158,,,7.1425,,0.0031,50.6214,0.0937,0.4216,,0.0006,0.0077,,92.66509914,,
OL39595,41.5995,0.0196,0.0192,0.3479,,,8.4117,,0.0021,49.8295,0.131,0.3757,,0,0.0245,,91.34906027,,
OL39596,41.8395,0,0.0153,0,,,7.1996,,0.0173,51.5952,0.0809,0.3466,,0,0,,92.74013185,,
OL39597,42.0122,0,0.035,0.0132,,,7.0318,,0.0047,51.2719,0.0962,0.3505,,0,0,,92.85573147,,
OL39598,41.3606,0.011,0.0144,0.0302,,,7.1942,,0.011,51.5318,0.0873,0.3599,,0,0.0065,,92.73690463,,
OL39599,41.8283,0.0256,0.017,0,,,7.0528,,0,51.4427,0.0989,0.3596,,0,0,,92.85801146,,
OL39600,41.7792,0,0,0,,,7.1524,,0,51.3805,0.1373,0.3268,,0,0.0039,,92.75632498,,
OL39601,41.5895,0,0,0.0189,,,6.9616,,0,51.3835,0.1578,0.3677,,0,0,,92.93629288,,
OL39602,41.7764,0.0386,0,0,,,6.9528,,0,51.5897,0.1145,0.3592,,0,0,,92.97080966,,
OL39603,41.849,0,0,0.0095,,,7.2199,,0.0379,51.3948,0.1501,0.3433,,0,0.0105,,92.69484335,,
OL39629,41.5495,0,0.0471,0.0094,,,6.9063,,0.0175,50.93,0.0918,0.4763,,,0,,92.93045016,,
OL39630,41.2177,0,0,0,,,6.9461,,0.019,51.3524,0.0666,0.4949,,,0.028,,92.94694362,,
OL39631,41.7395,0.0276,0,0,,,6.9201,,0.0095,51.0802,0.151,0.4909,,,0.0013,,92.93667986,,
OL39632,41.4097,0.0386,0.0172,0.013,,,7.2029,,0,51.4491,0.1017,0.5098,,,0.0174,,92.7179232,,
OL39633,41.4294,0.0165,0.0226,0,,,6.6956,,0.0127,51.3199,0.088,0.4758,,,0,,93.17994166,,
OL39634,41.4948,0.0331,0.0081,0,,,6.936,,0.0095,51.1935,0.0828,0.4605,,,0,,92.93615866,,
OL39673,41.2765,0.0185,0.0494,0.0265,,,9.7096,,0.0473,48.312,0.1025,0.4027,,0,0.0217,,89.86761896,,
OL39674,40.5884,0.0382,0.0251,0.0784,,,9.4394,,0.0345,48.2744,0.1231,0.3865,,0,0.0107,,90.11479745,,
OL39675,40.8282,0.049,0.0232,0.0912,,,9.4489,,0.061,48.7511,0.1096,0.3145,,0,0.0067,,90.19309273,,
OL39676,41.0243,0.04,0.0173,0.0827,,,9.7738,,0.0124,49.1713,0.0848,0.3382,,0,0.0014,,89.96770372,,
OL39677,41.1743,0.0327,0.0574,0.0257,,,9.5415,,0.076,49.4644,0.1145,0.3324,,0,0.0572,,90.23523048,,
OL39678,41.2405,0,0.0136,0,,,9.6232,,0.0326,49.0782,0.0708,0.2931,,0.0123,0.0182,,90.09008687,,
OL39679,41.1992,0.0564,0,0.0552,,,9.3941,,0.0917,48.8893,0.1088,0.316,,0,0.0014,,90.26931401,,
OL39680,42.272,0,0,0.0173,,,7.1367,,0.0137,50.3014,0.101,0.3746,,0.0082,0.0077,,92.62742946,,
OL39682,41.4686,0.0457,0.0046,0.0111,,,7.1098,,0.0093,51.535,0.0603,0.3125,,0,0.0109,,92.81640556,,
OL39683,41.4327,0.0237,0,0,,,6.9913,,0,51.5635,0.1106,0.3079,,0.0108,0,,92.93130048,,
OL39684,41.3515,0,0.0146,0,,,6.9611,,0.014,51.2898,0.0723,0.277,,0.0015,0,,92.9247737,,
OL39685,41.7051,0,0.0018,0.0019,,,7.0699,,0,51.2339,0.1202,0.3271,,0.0169,0.0095,,92.81485862,,
OL39691,41.6123,0.0055,0,0.0028,,,7.1897,,0.0016,51.3397,0.0913,0.4614,,,0.0013,,92.71593549,,
OL39692,41.373,0.011,0,0.0289,,,6.9145,,0.0111,51.388,0.1249,0.4013,,,0.0133,,92.98130066,,
OL39693,41.3692,0.0441,0.0343,0.0224,,,6.7528,,0.0111,51.1407,0.1434,0.4455,,,0.008,,93.10325691,,
OL39694,41.82,0.0551,0.0154,0,,,6.8515,,0,51.7535,0.0741,0.4104,,,0.0106,,93.08654999,,
OL39695,41.3924,0,0.0226,0.0112,,,6.9799,,0.0095,51.3108,0.1166,0.4931,,,0.0093,,92.90971794,,
OL39696,41.3782,0.0423,0,0,,,6.9058,,0,51.2607,0.1073,0.4541,,,0,,92.97332626,,
OL39712,41.9378,0,0.0081,0.0294,,,7.2502,,0.0216,51.4647,0.1002,0.3283,,0,0.0135,,92.67566486,,
OL39713,41.6735,0,0.0063,0.0734,,,7.0762,,0.0262,51.2415,0.0941,0.3216,,0.0183,0.0202,,92.80990622,,
OL39714,41.7107,0,0,0.0275,,,7.1211,,0.0077,51.1277,0.0941,0.3193,,0,0.031,,92.75265193,,
OL39715,41.5391,0,0.0172,0.0935,,,7.3722,,0.0031,51.2183,0.0862,0.33,,0,0.0041,,92.52847411,,
OL39716,41.5208,0.0271,0.0171,0.0275,,,7.1211,,0,50.8691,0.0478,0.3328,,0,0,,92.71849176,,
OL39717,41.7938,0.0307,0.0271,0,,,7.288,,0.0277,51.1419,0.1237,0.3404,,0.0046,0.0189,,92.59727419,,
OL39718,41.7031,0,0,0.0312,,,7.2729,,0.0339,50.7563,0.0929,0.3221,,0.0076,0,,92.55952386,,
OL39719,41.7723,0,0.0226,0.0513,,,7.2714,,0,51.0567,0.1024,0.3718,,0.0198,0,,92.60147485,,
OL39720,41.5476,0.0506,0.0163,0.0183,,,7.3015,,0,51.4432,0.0957,0.2864,,0,0,,92.62480706,,
OL39721,41.7476,0.0289,0.0135,0.0844,,,7.1457,,0,51.1409,0.1067,0.3237,,0.0274,0.0175,,92.73117627,,
OL39722,41.3704,0,0,0,,,7.2112,,0.0139,51.18,0.0545,0.3197,,0.0304,0.0054,,92.67462202,,
OL39723,41.4969,0,0.0108,0.0257,,,7.2096,,0.0015,51.1735,0.0865,0.3074,,0.0426,0.0485,,92.67526618,,
OL39724,41.548,0,0,0.0238,,,7.1017,,0.0277,51.1706,0.0794,0.351,,0.0183,0,,92.7765914,,
OL39725,41.7217,0.0054,0.0081,0.0037,,,7.3393,,0.0123,50.9573,0.1266,0.3369,,0.0046,0,,92.52407494,,
OL39726,41.5619,0.0306,0.0099,0.0878,,,7.3735,,0.0092,51.2782,0.1546,0.3284,,0,0,,92.53533264,,
OL39727,41.4041,0,0.0018,0.1171,,,7.0973,,0.0015,50.7107,0.099,0.3001,,0,0,,92.72003796,,
OL39728,41.5186,0,0.0009,0.0476,,,7.1601,,0.0123,50.6576,0.0974,0.3308,,0.0213,0,,92.65322132,,
OL39729,41.4453,0,0,0.0804,,,7.5473,,0,50.9669,0.1061,0.3619,,0.0046,0,,92.32979092,,
OL39730,41.8576,0.027,0.0099,0.0549,,,7.2974,,0.0123,51.1318,0.0828,0.333,,0,0.0108,,92.5870784,,
OL39731,41.3991,0,0.0243,0.0713,,,7.4182,,0,51.3478,0.1249,0.3206,,0.0228,0.0229,,92.50288886,,
OL39732,41.327,0.0126,0.0243,0.0476,,,7.3281,,0.0077,51.1594,0.1104,0.3085,,0.0258,0.004,,92.56192935,,
OL39733,41.4899,0.0595,0.0126,0.0092,,,7.1476,,0.0169,50.9381,0.1321,0.3367,,0.0289,0.0094,,92.70254989,,
OL39734,41.6371,0.0054,0,0.0274,,,7.2048,,0.0169,51.2822,0.1297,0.3108,,0.0258,0.0027,,92.69416851,,
OL39735,41.3974,0,0.0063,0.064,,,7.4139,,0.0261,51.113,0.0706,0.3793,,0.0334,0.0148,,92.47507781,,
OL39736,41.6013,0,0,0.0311,,,7.1328,,0.0046,51.2586,0.1266,0.3094,,0.0122,0,,92.75880245,,
OL39737,41.5912,0.0054,0,0.0476,,,7.1973,,0.0384,51.2814,0.0709,0.3297,,0.0121,0,,92.70111305,,
OL39738,41.6688,0.0018,0.0009,0.0384,,,7.2079,,0.0476,51.0074,0.1238,0.2969,,0,0.0336,,92.65477149,,
OL39739,41.898,0.0144,0.0171,0.0439,,,7.5588,,0.0138,51.3994,0.1127,0.3122,,0.0152,0.0216,,92.37870729,,
OL39740,41.3157,0,0,0.0293,,,7.1116,,0,50.4913,0.0737,0.3144,,0.0121,0.0403,,92.67706786,,
OL39741,41.2685,0.0198,0.0018,0.0329,,,7.2694,,0.0154,51.0093,0.1036,0.3312,,0.0197,0.0202,,92.59699485,,
OL39742,41.0223,0.0548,0,0.0599,,,9.402,,0.011,49.2333,0.1406,0.3219,,0,0.0255,,90.32338502,,
OL39743,40.614,0.0036,0,0.0577,,,9.6665,,0.025,49.5705,0.1378,0.232,,0.0138,0.0147,,90.13900637,,
OL39744,41.1912,0,0.0143,0.0876,,,9.5877,,0.0156,49.1492,0.1793,0.2642,,0.0031,0,,90.13589442,,
OL39745,41.0151,0.0601,0.042,0,,,8.2835,,0.0345,49.1308,0.1132,0.345,,0,0.0053,,91.35883042,,
OL39746,40.8623,0.0073,0.0089,0.0524,,,8.1963,,0.0533,48.8302,0.0792,0.3079,,0,0.0092,,91.39386159,,
OL39747,40.7792,0.042,0.0108,0.0412,,,9.7762,,0.0094,49.5117,0.1594,0.2881,,0,0.0067,,90.02759632,,
OL39748,41.0638,0.0199,0,0.0502,,,9.4693,,0.053,49.5948,0.1328,0.3621,,0.0061,0,,90.32498621,,
OL39749,41.259,0.0744,0.0312,0.0466,,,9.4507,,0.0109,49.3252,0.1152,0.2975,,0.0399,0.0013,,90.29449068,,
OL39750,41.2604,0.0562,0,0.0539,,,9.4965,,0.0468,49.5104,0.1531,0.3055,,0,0.0213,,90.28496181,,
OL39751,40.9437,0.049,0.0277,0,,,9.6518,,0.025,49.3031,0.1533,0.3347,,0,0,,90.10440184,,
OL39757,41.0843,0.0145,0.0161,0.0242,,,9.7749,,0.1002,48.1503,0.1769,0.2931,,0,0.043,,89.77568947,,
OL39758,41.0982,0.1056,0.0455,0,,,9.6018,,0.0408,47.9799,0.0685,0.3179,,0.0154,0.0188,,89.90640436,,
OL39759,41.2027,0.0492,0.0197,0,,,10.0919,,0.0487,48.6655,0.1049,0.2729,,0.0046,0.0027,,89.5787739,,
OL39760,41.181,0.0237,0.0215,0.0393,,,9.8884,,0.0079,48.8364,0.1382,0.372,,0,0.0473,,89.79956753,,
OL39761,41.0857,0.0437,0.0484,0.0523,,,10.0567,,0.0565,49.0355,0.1037,0.3292,,0.0123,0.0162,,89.68164621,,
OL39762,41.0981,0.0219,0.0045,0.0336,,,9.9919,,0.0471,48.9288,0.1578,0.39,,0,0.0432,,89.72123975,,
OL39795,42.0206,0,0.0018,0.0019,,,7.1152,,0,50.9023,0.1257,0.3183,,0,0,,92.72848621,,
OL39796,42.2498,0.0276,0,0.0379,,,7.1601,,0.0269,51.7616,0.1166,0.3557,,0,0,,92.79863321,,
OL39797,41.8424,0,0.009,0.0188,,,7.2966,,0,51.5789,0.1139,0.3793,,0,0.0183,,92.64735741,,
OL39798,42.0033,0.0293,0,0,,,7.1212,,0.0094,51.3075,0.084,0.3172,,0.0108,0.0118,,92.77612049,,
OL39799,41.7351,0.0238,0,0,,,7.2632,,0.011,51.4309,0.064,0.3525,,0,0,,92.65902788,,
OL39800,42.06,0,0,0,,,7.14,,0,51.49,0.12,0.3,,0.01,0.02,,92.78224475,,
OL39801,41.6573,0.0128,0.0108,0.0207,,,7.2127,,0,51.4956,0.1091,0.4233,,0.0093,0,,92.71484216,,
OL39802,41.992,0.022,0.0126,0.066,,,7.2159,,0.011,51.4421,0.1017,0.2868,,0.0232,0.0105,,92.70481882,,
OL39803,41.6709,0,0,0,,,7.098,,0.0189,51.4987,0.0678,0.3713,,0.0015,0.0131,,92.82278004,,
OL39804,42.1083,0,0,0,,,7.0229,,0,51.2643,0.1086,0.4015,,0,0.0209,,92.86314617,,
OL39805,42.0871,0.0092,0.0099,0.0284,,,6.9675,,0.0174,51.2588,0.0566,0.3353,,0.0062,0.0026,,92.91475026,,
OL39806,42.1018,0,0.0323,0.0604,,,7.1258,,0,51.4602,0.1297,0.3613,,0.0324,0,,92.79169394,,
OL39817,41.0949,0.0673,0.0027,0,,,10.1018,,0.1081,48.9679,0.1548,0.3636,,0.0108,0.0621,,89.62734841,,
OL39818,40.214,0.0471,0.0174,0.0544,,,10.5753,,0.0533,47.9801,0.075,0.3084,,,0.0303,,88.99569762,,
OL39819,40.2394,0.0452,0.0401,0.0579,,,10.851,,0.0578,47.9802,0.1019,0.3287,,,0.0138,,88.74113424,,
OL39820,40.2068,0.038,0.0219,0.0181,,,10.8369,,0.0579,47.6124,0.1606,0.3247,,,0.0277,,88.67708246,,
OL39821,40.4082,0.0723,0.021,0.0689,,,10.6503,,0.0438,47.9826,0.1283,0.2984,,,0.0331,,88.92681041,,
OL39822,40.4077,0.0632,0.0447,0.0109,,,10.8239,,0.0485,47.5975,0.1318,0.34,,,0.0041,,88.68598896,,
OL39823,40.3296,0.0306,0.0345,0.0162,,,10.8873,,0.0639,47.6717,0.1131,0.3427,,,0.0207,,88.64294606,,
OL39836,41.6636,0,0.0036,0.0418,,,7.7747,,0.0253,50.7251,0.1334,0.3624,,,0,,92.08230335,,
OL39837,41.6621,0,0,0.0019,,,7.4976,,0,51.0583,0.1516,0.3616,,,0.0228,,92.38905802,,
OL39838,41.5322,0,0,0.0288,,,7.7105,,0.0237,51.0404,0.1163,0.4107,,,0.0296,,92.18729377,,
OL39839,41.3302,0,0.0054,0,,,7.6107,,0.0458,50.5804,0.1035,0.3534,,,0,,92.21587186,,
OL39840,41.1878,0.033,0.009,0.0279,,,7.6216,,0.0332,50.7615,0.1507,0.3264,,,0,,92.23123994,,
OL39841,41.5328,0.011,0.0099,0.0335,,,7.584,,0.0095,51.0669,0.0728,0.3786,,,0,,92.30929391,,
OL39842,41.5065,0,0.0226,0,,,6.9293,,0.0379,51.4144,0.0692,0.4359,,,0,,92.97069141,,
OL39843,41.3962,0,0,0,,,7.2819,,0.0205,51.4259,0.1356,0.4501,,,0.0027,,92.64085562,,
OL39844,41.5051,0,0,0.0065,,,7.1258,,0.0443,51.5073,0.1193,0.4292,,,0,,92.79781072,,
OL39845,41.5115,0.0275,0.0208,0,,,7.0481,,0,51.4251,0.1093,0.4968,,,0,,92.8601628,,
OL39846,41.4838,0,0.0081,0.0047,,,6.9762,,0.0032,51.052,0.13,0.5228,,,0,,92.87984268,,
OL39847,41.2588,0.0202,0.0009,0.0559,,,7.1555,,0,51.0733,0.0835,0.4274,,,0.0027,,92.71300176,,
OL42055,40.63,0,0.01,0,,,9.6,,0.09,50.11,0.09,0.33,,0.01,0.03,,90.29546511,,
OL42056,41.3,0,0,0,,,9.64,,0.01,49.58,0.12,0.23,,0,0,,90.16507983,,
OL42356,40.69,0.01,0.01,0.05,,,8.01,,0.05,49.86,0.09,0.39,,0,0,,91.73265325,,
OL42357,40.6,0.01,0,0.02,,,7.96,,0.02,50.09,0.08,0.39,,0,0,,91.81467213,,
OL42358,40.78,0.01,0,0.02,,,8.28,,0.03,50.41,0.08,0.39,,0,0,,91.56286552,,
OL42359,40.85,0.01,0,0.02,,,8.08,,0.02,50.53,0.09,0.38,,0,0,,91.76782738,,
OL42360,40.3,0.03,0.03,0.03,,,11.1,,0.09,47.88,0.11,0.35,,0,0,,88.49118043,,
OL42361,40.74,0.01,0.01,0.03,,,8,,0.04,50.28,0.1,0.41,,0,0,,91.80544951,,
OL42362,40.77,0,0,0.02,,,7.93,,0.02,50.22,0.09,0.37,,0,0,,91.86240199,,
OL42363,40.48,0.01,0,0.01,,,8.17,,0.02,50.08,0.1,0.4,,0,0,,91.61529696,,
OL42364,40.6,0.01,0,0.02,,,8.08,,0.02,50.28,0.09,0.38,,0,0,,91.73028067,,
OL42365,40.38,0.01,0.03,0.06,,,8.59,,0.09,50.02,0.1,0.39,,0,0,,91.21249162,,
OL42366,40.62,0.02,0.01,0.04,,,8.49,,0.04,49.69,0.09,0.4,,0,0,,91.25320816,,
OL42367,40.41,0.02,0.03,0.09,,,8.77,,0.09,49.38,0.1,0.37,,0,0,,90.93929393,,
OL42368,40.35,0.01,0,0.02,,,8.25,,0.02,50.41,0.09,0.41,,0,0,,91.59086423,,
OL42370,40.6,0.01,0,0.02,,,8.4,,0.02,49.7,0.09,0.41,,0,0,,91.33949058,,
OL42372,40.84,0.02,0.01,0.03,,,7.67,,0.04,50.66,0.09,0.38,,0,0,,92.17132996,,
OL42374,40.75,0,0.01,0.01,,,8.14,,0.02,50.22,0.09,0.41,,0,0,,91.66486645,,
OL42382,40.93,,,,,,9.45,,0.02,49.49,0.13,0.39,,,,,90.32432976,,
OL42383,40.41,,,,,,9.8,,0.04,48.87,0.14,0.38,,,,,89.88778339,,
OL42384,40.76,,,,,,8.82,,0.03,50.03,0.12,0.41,,,,,91.00002034,,
OL42385,40.25,,,,,,7.77,,0.02,49.28,0.12,0.33,,,,,91.87351723,,
OL42386,40.81,,,,,,8.57,,0.05,48.88,0.1,0.36,,,,,91.04496075,,
OL42387,40.33,,,,,,10.23,,0.02,48.92,0.15,0.37,,,,,89.50032722,,
OL42389,41.11,,,,,,9.59,,0.01,49.42,0.13,0.36,,,,,90.18251666,,
OL42391,40.64,,,,,,9.53,,0.02,48.03,0.11,0.35,,,,,89.98372505,,
OL42392,41.17,,,,,,9.56,,0.01,49.63,0.14,0.36,,,,,90.2476055,,
OL42393,40.28,,,,,,9.25,,0.02,48.98,0.14,0.36,,,,,90.42032108,,
OL42410,40.85,,,,,,8.88,,0.051,49.69,0.086,0.407,,,,,90.88802363,,
OL42414,40.88,,,,,,9.21,,0.082,49.56,0.106,0.377,,,,,90.55892304,,
OL47142,40.5,,,,,,11.28,,0.16,47.6,0.03,0.32,,,,,88.26572658,,
OL47145,40.74,,,,,,9.63,,0.1,48.99,0.2,,,,,,90.06769902,,
OL47150,40.86,,,,,,8.92,,0.06,49.53,0.05,,,,,,90.82389057,,
OL47151,41.32,,,0.06,,,6.87,,0.17,51.41,0.06,,,,,,93.0260972,,
OL47266,41.14,,,0.03,,,8.94,,,50.62,0.12,0.34,,,,,90.98535124,,
OL47267,41.12,,,0.06,,,9.11,,,50.58,0.1,0.37,,,,,90.82306488,,
OL47268,41.22,,,0.01,,,7.62,,,51.62,0.09,0.41,,,,,92.35204305,,
OL47269,40.83,,,0.01,,,8.18,,,50.7,0.1,0.42,,,,,91.70002552,,
OL47271,40.99,,,0,,,7.74,,,51.65,0.12,0.36,,,,,92.24510502,,
OL47272,40.91,,,0.01,,,8.01,,,51.04,0.12,0.4,,,,,91.90832112,,
OL47524,40.28,,,,,,15.36,,0.28,44.08,0.16,0.43,,,,,83.6481175,,
OL47692,40.97,0.02,0.06,0.07,,0,8.61,8.61,0.15,50.34,0.1,0.36,,0,0,,91.24491131,,
OL48745,40.51,,0.07,,,,15.55,,0.17,42.85,,0.18,,,,,83.08525418,,
OL48749,42.58,,0.07,,,,10.94,,0.06,45.84,,0.29,,,,,88.19229934,,
OL48751,40.964,0,0.29,0,,,8.99,,0,49.2,0.14,0.41,,0,0,,90.70231328,,
OL48752,40.742,0,0.306,0,,,10.144,,0,48.372,0.116,0.314,,0,0,,89.47376926,,
OL48753,40.764,0,0,0,,,10.114,,0,48.662,0.106,0.352,,0,0,,89.55766304,,
OL48754,41.108,0,0.086,0,,,9.826,,0,48.854,0.124,0,,0,0,,89.86069135,,
OL48755,40.796,0,0.298,0,,,9.97,,0,48.462,0.12,0.352,,0,0,,89.65286845,,
OL48756,40.972,0,0.298,0,,,9.312,,0,48.978,0.104,0.34,,0,0,,90.36194407,,
OL48757,40.334,0,0.262,0,,,10.858,,0,48.028,0.152,0.364,,0,0,,88.74463924,,
OL48802,41.12366667,0.000666667,0,0.011,,,8.093666667,,0,50.29,0.107,0.39,,0.018666667,0.037666667,,91.7189622,,
OL48803,41.26466667,0.008,0.008,0.016333333,,,9.038333333,,0.007,49.52266667,0.123,0.391333333,,0.005333333,0.017333333,,90.71221682,,
OL48804,41.119,0.007,0.0075,0.004,,,9.038,,0.0075,49.6865,0.1555,0.322,,0.011,0.0165,,90.74031582,,
OL48805,40.11166667,0.017666667,0,0.012333333,,,11.16083333,,0.015333333,48.11566667,0.192,0.348666667,,0.006,0.005166667,,88.4855212,,
OL48806,40.48366667,0.004666667,0,0.02,,,9.530666667,,0.003666667,49.136,0.152333333,0.349666667,,0.001666667,0.022666667,,90.18643797,,
OL48807,40.96233333,0.000333333,0,0.027666667,,,8.953333333,,0,49.55933333,0.126333333,0.402333333,,0.015,0.02,,90.7977055,,
OL48808,40.436,0,0.008333333,0.059,,,8.839333333,,0.014,48.988,0.136,0.361333333,,0.006333333,0.027333333,,90.8078875,,
OL48809,40.699,0.0145,0.0055,0.013,,,9.1215,,0.0285,49.0965,0.125,0.394,,0,0.026,,90.56113957,,
OL48810,41.20075,0.00225,0.001,0.0065,,,8.39475,,0.0105,50.26225,0.12325,0.36325,,0.00425,0.009,,91.43296393,,
OL48811,40.97333333,0.015,0,0.011333333,,,8.730333333,,0.000333333,49.655,0.116666667,0.37,,0.006,0.017666667,,91.02206457,,
OL48815,41.195,0.010666667,0.048,0.003333333,,,10.14633333,,0.024,48.475,0.136333333,0.339,,0.022333333,0.018666667,,89.49162293,,
OL48816,40.7295,0.05475,0,0.02775,,,8.92175,,0.02675,49.62525,0.14425,0.411,,0.00375,0.01725,,90.83825728,,
OL48817,40.73366667,0.022666667,0,0.008,,,10.712,,0.041,48.45533333,0.113333333,0.405333333,,0.004666667,0.005666667,,88.96640641,,
OL48818,40.627,0.01325,0.00075,0.004,,,10.441,,0.02525,48.777,0.13,0.37,,0.00325,0.012,,89.27893416,,
OL48819,40.6,0.000333333,0,0.010666667,,,10.59133333,,0.033666667,48.53433333,0.175333333,0.387333333,,0.001666667,0.008666667,,89.09295986,,
OL48820,40.15775,0.002,0,0.0085,,,9.1195,,0.04575,49.61725,0.1345,0.3915,,0.0115,0.0015,,90.65280037,,
OL48821,39.7215,0.0125,0,0.007,,,11.49,,0.01,47.6895,0.2005,0.3955,,0.016,0.0095,,88.09304197,,
OL48822,40.52575,0.00475,0.00525,0.0125,,,11.058,,0.0395,48.53225,0.16575,0.398,,0.011,0.021,,88.66641595,,
OL48823,41.10333333,0.015,0.001333333,0.004,,,9.084333333,,0.011666667,49.64933333,0.124333333,0.391666667,,0.006666667,0.013,,90.69094641,,
OL48824,40.807,0,0.005,0.003333333,,,10.339,,0.000666667,49.09033333,0.155,0.363333333,,0,0.001,,89.4332045,,
OL48825,40.735,0.019,0.005666667,0.037,,,9.476333333,,0.044666667,49.43533333,0.117333333,0.395666667,,0.011666667,0.016666667,,90.29029793,,
OL48948,40.18,0.02,0.04,0.02,,,12.95,,0.18,46.91,0.2,0.23,,,,,86.58985954,,
OL48949,40.29,0.02,0.06,0.05,,,14.63,,0.23,44.23,0.21,0.24,,,,,84.34817349,,
OL48950,39.43,0.03,0.21,0.1,,,17.35,,0.48,41.61,0.29,0.2,,,,,81.04265974,,
OL48957,40.35,0,0.04,0.02,,,12.89,,0.07,46.92,0.23,0.33,,,,,86.64615941,,
OL48960,40.75,0.03,0.01,0.02,,,8.95,,0.06,49.38,0.1,0.4,,,,,90.77049114,,
OL48961,41.22,0.01,0.02,0.01,,,8.11,,0.06,50.94,0.1,0.46,,,,,91.80081984,,
OL48963,41.04,0,0,0.03,,,8.47,,0.25,50.18,0.16,0.33,,,,,91.34986984,,
OL48966,39.8,0.01,0.03,0,,,12.74,,0.27,46.64,0.23,0.29,,,,,86.71220094,,
OL48967,41.09,0.01,0.02,0.27,,,8.41,,0.19,48.77,0.13,0.34,,,,,91.17932966,,
OL50971,40.42,0.05,0.02,0.03,,,10.44,,0.06,49.39,,,,,,,89.39879804,,
OL50972,40.64,0.04,0.03,0.02,,,11.17,,0.07,49.22,,,,,,,88.70649059,,
OL50973,40.81,0.02,0.02,0.02,,,10.06,,0.05,50.1,,,,,,,89.87571066,,
OL50974,40.75,0.01,0.05,0.01,,,10.09,,0.07,50.25,,,,,,,89.87581866,,
OL50975,40.4,0.02,0.03,0.01,,,10.51,,0.07,49.71,,,,,,,89.39667059,,
OL50976,40.44,0.03,0.03,0.02,,,10.53,,0.08,49.25,,,,,,,89.29005627,,
OL50977,40.45,0.03,0.02,0.02,,,10.28,,0.06,49.34,,,,,,,89.53479437,,
OL50978,40.72,0.04,0.04,0.06,,,10.31,,0.1,49.83,,,,,,,89.59990549,,
OL50979,41.04,0.01,0.03,0.03,,,8.65,,0.08,51.34,,,,,,,91.3642785,,
OL50980,41.08,0.04,0.04,0.02,,,8.86,,0.08,50.85,,,,,,,91.09564743,,
OL50981,40.85,0.01,0.06,0.05,,,8.81,,0.11,50.32,,,,,,,91.05648737,,
OL50982,41.02,0.01,0.03,0.03,,,8.35,,0.09,50.98,,,,,,,91.58466584,,
OL50983,41.06,0.03,0.48,0.06,,,8.39,,0.19,50.84,,,,,,,91.52645721,,
OL50984,40.61,0.02,0.02,0.02,,,8.23,,0.07,50.34,,,,,,,91.59885244,,
OL51594,40.58,0,0,0,,,10.15,,0.02,48.78,0.02,,,,,,89.5470799,,
OL51595,41.14,0,0,0,,,7.62,,0.02,50.83,0.1,,,,,,92.24239952,,
OL51597,40.85,0,0,0.03,,,9.19,,0.03,49.19,0.22,0.34,,,,,90.51334198,,
OL51598,40.64,0,0,0,,,8.54,,0.01,49.71,0.18,0.35,,,,,91.20945273,,
OL51601,40.58,0,0,0.16,,,7.58,,0.08,50.81,0.08,,,,,,92.27717396,,
OL51978,41,0,0.03,0.08,,,10.39,,0.12,47.58,0.26,,,0.01,0.7,0,89.08647963,,
OL51979,40.81,,,,,,9.8,,,49.8,0.15,,,,,,90.05785098,,
OL52031,40.69,0.035,0.043,0.053,,,9.47,,0.14,47.76,0.158,0.31,,,0.015,,89.98983839,,
OL52032,40.28,0.01,0.046,0.066,,,9.36,,0.11,48.46,0.131,0.41,,,0.021,,90.22368968,,
OL52033,41.11,0.005,0.045,0.032,,,9.92,,0.07,48.53,0.138,0.34,,,0.01,,89.71236297,,
OL52034,41.19,0.006,0.076,0.057,,,9.78,,0.12,48.81,0.127,0.37,,,0.015,,89.8951836,,
OL52035,41.17,0.008,0.057,0.052,,,9.04,,0.13,50.43,0.163,0.42,,,0.017,,90.86252465,,
OL52036,41.56,0.018,0.043,0.019,,,9.63,,0.09,49.63,0.387,0.13,,,0.013,,90.1832068,,
OL52037,40.13,0.006,0.068,0.061,,,9.76,,0.12,48.19,0.156,0.37,,,0.019,,89.79723652,,
OL52038,40.76,0.014,0.064,0.022,,,10.15,,0.1,49.05,0.141,0.37,,,0.017,,89.59863407,,
OL52039,41.8,0.009,0.038,0.051,,,9.89,,0.11,49.75,0.132,0.37,,,0.012,,89.96663442,,
OL52040,40.65,0.03,0.088,0.023,,,9.51,,0.12,48.92,0.17,0.39,,,0.023,,90.16664057,,
