ID,SiO2(Wt%),TiO2(Wt%),Al2O3(Wt%),Cr2O3(Wt%),V2O3(Wt%),Fe2O3(Wt%),FeOT(Wt%),FeO(Wt%),CaO,MgO,MnO(Wt%),NiO,COO(Wt%),K2O(Wt%),Na2O(Wt%),P2O5(Wt%),MgNo,,
OL22449,40.32,,,,,,15.21,,0.03,43.4,0.16,0.34,,,,,83.56954854,,
OL22569,41.13,0.03,0.01,0.03,,,10.08,,0.05,48.76,0.09,0.44,,0,0.05,,89.60786197,,
OL22570,41.24,0,0.07,0.01,,,10.38,,0.07,49.13,0.23,0.38,,0.01,0.03,,89.40339913,,
OL22571,40.8,0.02,0,0.08,,,11.78,,0.18,47.71,0.31,0.01,,0,0,,87.83368803,,
OL22572,41.02,0,0.01,0,,,11.35,,0.06,47.95,0.18,0.01,,0,0,,88.27752406,,
OL22580,41.08,0,0.03,0.01,,,10.34,,0.13,48.43,0.16,0.01,,0,0.01,,89.30361414,,
OL22581,41.43,0.01,0.01,0.03,,,10.51,,0.1,48.88,0.14,0.01,,0,0.02,,89.23600264,,
OL22582,41.36,0.04,0,0.02,,,10.48,,0.05,49.14,0.14,0.01,,0.02,0.01,,89.31416577,,
OL22583,39.79,0.02,0.03,0,,,13.66,,0.1,45.36,0.23,0.01,,0,0.01,,85.54738744,,
OL22584,39.93,0.05,0.01,0.02,,,10.46,,0.06,48.33,0.1,0.01,,0,0,,89.17295362,,
OL22585,40.88,0,0.04,0,,,10.21,,0.09,49.13,0.12,0.01,,0.01,0,,89.55882616,,
OL22586,40.78,0.01,0,0,,,10.18,,0.06,48.8,0.22,0.01,,0.02,0,,89.52326789,,
OL22587,41.19,0,0.01,0.01,,,10.29,,0.04,48.6,0.13,0.01,,0,0.03,,89.38312736,,
OL22588,39.39,0.02,0.03,0.04,,,10.07,,0.06,48.86,0.11,0.01,,0,0.01,,89.63614914,,
OL22615,40.79,0,0,,,,9.75,,0.12,49.41,0,0.43,,,,,90.03322767,,
OL22616,40.72,0,0,,,,9.47,,0.17,49.42,0,0,,,,,90.293439,,
OL22617,40.98,0,0,,,,9.25,,0.08,49.77,0,0.41,,,,,90.55802216,,
OL22618,40.77,0,0,,,,9.31,,0.1,49.86,0,0,,,,,90.51811143,,
OL22627,41.3,0,0,,,,8.95,,0.12,49.46,0,0.34,,,,,90.78404378,,
OL22628,39.82,0,0,,,,9.52,,0,48.97,0.19,0.44,,,,,90.16637974,,
OL22629,40.66,0,0,,,,8.89,,0.08,49.13,0,0.38,,,,,90.78431207,,
OL22630,40.45,0,0,,,,8.99,,0.08,49.31,0,0.41,,,,,90.72112988,,
OL22635,40.99,0,0,,,,9.54,,0,49.58,0.18,0.48,,,,,90.25716199,,
OL22636,41.19,0,0,,,,8.99,,0,49.23,0,0.47,,,,,90.70745265,,
OL22637,40.76,0,0,,,,9.07,,0.06,49.28,0.17,0.41,,,,,90.6411214,,
OL22638,40.78,0,0.02,,,,10.31,,0.19,48.53,0,0.35,,,,,89.35097983,,
OL22639,40.96,0,0,,,,10.34,,0,48.71,0,0,,,,,89.35855724,,
OL22640,41.15,0,0,,,,10.34,,0.06,48.39,0,0.42,,,,,89.29571878,,
OL22641,40.96,0,0,,,,10.25,,0.06,48.61,0.23,0.36,,,,,89.42197785,,
